model,id,text,term_groups,prob_hateful
aggressive_reduction,16787150_gab,ricky i very much wish this could be a possibility in the us however the data since the <number> until today proves that blacks jews mestizos and asians vote overwhelmingly for democrats non whites vote overwhelmingly for less freedom bigger govt and more gibs me dat please explain,"black,immigrant_nationality,jewish,white",0.04030206
aggressive_reduction,15909380_gab,socialist dictator socialist feminist son of a whore space cadet spoiled bitch stuttering barky stuttering clusterfuck the brown clown the choom gangster in chief the color muslim the community agitator the crony elitist presy the drama king the execuitve infant the face of evil,muslim,0.053070337
aggressive_reduction,3718243_gab,house republicans overwhelmingly voted in support of a resolution reaffirming the united states commitment to israel <number> democrats showed they are no longer the party for pro israel jews the least surprising was muzrat keith ellison a candidate to head the dnc fuc kislam,"jewish,muslim",0.42735282
aggressive_reduction,1178734015555264512_twitter,questioning my masculinity will not get you nowhere niggers,black,0.06639424
aggressive_reduction,11135587_gab,what an absolutely beautiful video this is germany under hitler was as close to paradise as the beleagurd goyim shall ever see the jews won ww1 and ww2 the jews are now orchestrating ww3 godspeed my friends i love u,jewish,0.11146302
aggressive_reduction,1179007711721279488_twitter,<user> the same people who defend a woman right to post ass pics on instagram are the same to try and push them out of a job and suddenly say it degrading to them will you ugly dykes pick something to be offended by and stick with it,"gay_lgbt,women",0.05826075
aggressive_reduction,13979518_gab,p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew 😂,jewish,0.012555972
aggressive_reduction,9053284_gab,they average more in cali with the feeding program but the skunks and coons eat well too,black,0.23827639
aggressive_reduction,15024908_gab,the only people trump is playing chess against are the american people the jew controlled alt right are full of liars and traitors ask yourselves would adolf hitler shake netanyahu hand would he prostrate himself like a bitch before the wailing wall,jewish,0.34947547
aggressive_reduction,1097012359481053185_twitter,<user> what if the sugar gramp was a ss soilder who killed hundreds of jews but is a multi billionaire 🤔,jewish,0.40033904
aggressive_reduction,1142982217892814854_twitter,<user> <user> women can not be wise estrogen makes them retarded,"disability,women",0.05956146
aggressive_reduction,1178401026308636672_twitter,im anti racism but pro normalizing words like faggot and nigger and kike and so on theyre just words lmao,"black,gay_lgbt,jewish",0.2686902
aggressive_reduction,1268483283228082177_twitter,<user> <user> import3d terrorists and embedded muslim brotherhood stop rioting and looting,muslim,0.07529379
aggressive_reduction,1178857982722920449_twitter,<user> eldar is queer race imperium of man is patriarchy welcome to the new faggotry lmao,gay_lgbt,0.04268834
aggressive_reduction,1179097091089371137_twitter,why are the most extreme feminists always lesbian dykes trying to be guys anyway,gay_lgbt,0.34803566
aggressive_reduction,1178120616467161089_twitter,grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted,"gay_lgbt,women",0.19341995
aggressive_reduction,17504345_gab,it not just mainstream media i do not like the argument that many people on gab or any where on the interenet have yo my neighborhood had a bunch of asians and blacks moving in i moved cause i did not want to deal with that that not genocide,"black,immigrant_nationality",0.2205448
aggressive_reduction,11258511_gab,yfw deadpool is trolling niggers to death irl,black,0.09513105
aggressive_reduction,11959949_gab,plus he a faggot so he likes things up his ass,gay_lgbt,0.039333235
aggressive_reduction,7894283_gab,there is a yid involved in very single breaking story out of the white house it interesting that jews are over represented in our government but can somehow avoid blame for any failures in governance it as if the media is somehow colluding to absolve them of any guilt,"jewish,white",0.1415905
aggressive_reduction,1104959890693517312_twitter,<user> oh boy you are a retard but can be chill you remind me of the kid we used to fuck in the locker room before gym,disability,0.017390722
aggressive_reduction,20531142_gab,i am starting to think it the jews 👀,jewish,0.062121823
aggressive_reduction,4545816_gab,imagine if someone wrote a <number> page racial history of jews white interactions in europe and casually noticed that millions of jews had been baptized and became faithful productive citizens that reversed is what i hold e michael jones has done teamwhite,"jewish,white",0.02128691
aggressive_reduction,21749687_gab,atomaweapon is a puny faggot trying to be big shit asking billshit questions to dodge the subject,gay_lgbt,0.112502836
aggressive_reduction,15864537_gab,please address the issue of white kids quotations for obvious reasons being raped all across the uk by muslim grooming gangs rotherham is but one city where this is happening but there are many many others and yes this is still continuing and still not being addressed by the police,"muslim,white",0.18230626
